7zip 25.01-1
qemu-tools 10.1.2-3
qemu-ui-curses 10.1.2-3
qemu-ui-dbus 10.1.2-3
qemu-ui-egl-headless 10.1.2-3
qemu-ui-gtk 10.1.2-3
qemu-ui-opengl 10.1.2-3
qemu-ui-sdl 10.1.2-3
qemu-ui-spice-app 10.1.2-3
qemu-ui-spice-core 10.1.2-3
qemu-user 10.1.2-3
qemu-vhost-user-gpu 10.1.2-3
qemu-vmsr-helper 10.1.2-3
qhexedit2 0.8.9-2
qhull 2020.2-5
qjackctl 1.0.4-2
qpdf 12.2.0-1
qpwgraph 0.9.8-1
qqc2-breeze-style 6.5.4-1
qqc2-desktop-style 6.21.0-1
qrcodegencpp-cmake 1.8.0-4
qrencode 4.1.1-4
qscintilla-qt5 2.14.1-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-graphicaleffects 5.15.18-1
qt5-location 5.15.18+kde+r7-2
qt5-multimedia 5.15.18+kde+r2-1
qt5-quickcontrols 5.15.18-1
qt5-quickcontrols2 5.15.18+kde+r5-1
qt5-speech 5.15.18+kde+r1-1
qt5-svg 5.15.18+kde+r5-1
qt5-tools 5.15.18+kde+r3-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-webchannel 5.15.18+kde+r3-1
qt5-webengine 5.15.19-4
qt5-websockets 5.15.18+kde+r2-1
qt5-x11extras 5.15.18-1
qt5ct 1.9-1
qt6-5compat 6.10.1-1
qt6-base 6.10.1-1
qt6-declarative 6.10.1-2
qt6-graphs 6.10.1-1
qt6-imageformats 6.10.1-1
qt6-location 6.10.1-1
qt6-multimedia 6.10.1-1
qt6-multimedia-ffmpeg 6.10.1-1
qt6-positioning 6.10.1-1
qt6-quick3d 6.10.1-1
qt6-quicktimeline 6.10.1-1
qt6-sensors 6.10.1-1
qt6-shadertools 6.10.1-1
qt6-speech 6.10.1-1
qt6-svg 6.10.1-1
qt6-tools 6.10.1-1
qt6-translations 6.10.1-1
qt6-virtualkeyboard 6.10.1-1
qt6-wayland 6.10.1-1
qt6-webchannel 6.10.1-1
qt6-webengine 6.10.1-1
qt6-websockets 6.10.1-1
qt6ct 0.11-3
qtkeychain-qt6 0.15.0-3
qtractor 1.5.11-1
quickshell 0.2.1-4
r2modman-bin 3.2.11-1
ranger 1.9.4-4
rapidjson 1.1.0-6
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
rclone 1.72.1-1
rdma-core 60.0-2
re2 2:2025.11.05-1
readline 8.3.003-1
recode 3.7.15-1
redland 1:1.0.17-9
redshift 1.12-14
remmina 1:1.4.41-1
restic 0.18.1-1
reuse 6.2.0-1
rhash 1.4.6-1
rig-debug 1.11-1
ripgrep 15.1.0-1
ripgrep-all 0.10.10-1
rnnoise 1:0.2-1
rofi 2.0.0-1
rofi-greenclip 4.3-1
rpcbind 1.2.8-1
rpi-imager 2.0.2-1
rsync 3.4.1-2
rtkit 0.14-1
rtl88xxau-aircrack-dkms-git r1312.c3fb89a-1
rtmpdump 1:2.6-1
rubberband 4.0.0-1
ruby 3.4.7-2
ruby-abbrev 0.1.2-1
ruby-base64 0.3.0-1
ruby-bigdecimal 3.3.1-1
ruby-bundled-gems 3.4.7-2
ruby-bundler 4.0.3-1
ruby-csv 3.3.5-1
ruby-debug 1.11.0-1
ruby-default-gems 3.4.7-2
ruby-drb 2.2.3-1
ruby-erb 4.0.4-9
ruby-getoptlong 0.2.1-1
ruby-irb 1.14.3-4
ruby-manpages 0.6.1-8
ruby-matrix 0.4.3-1
ruby-minitest 5.26.1-1
ruby-mutex_m 0.3.0-2
ruby-net-ftp 0.3.9-1
ruby-net-imap 0.5.12-1
ruby-net-pop 0.1.2-5
ruby-net-smtp 0.5.1-1
ruby-nkf 0.2.0-2
ruby-observer 0.1.2-3
ruby-optimist 3.1.0-5
ruby-paint 2.3.0-6
ruby-power_assert 2.0.5-4
ruby-prime 0.1.4-1
ruby-racc 1.8.1-2
ruby-rake 13.3.1-1
ruby-rbs 3.8.0-2
ruby-rdoc 6.14.0-1
ruby-repl_type_completor 0.1.12-1
ruby-resolv-replace 0.1.1-2
ruby-rexml 3.4.4-1
ruby-rinda 0.2.0-2
ruby-rss 0.3.1-4
ruby-stdlib 3.4.7-2
ruby-syslog 0.3.0-2
ruby-test-unit 3.7.1-1
ruby-typeprof 0.30.1-2
rubygems 3.6.9-1
run-parts 5.23.2-1
runc 1.4.0-1
rust 1:1.92.0-1
rutabaga-ffi 0.1.75-1
safe-rm 1.1.0-3
samba 2:4.23.4-1
sassc 3.6.2-5
sbc 2.1-1
scanmem 0.17-10
scdoc 1.11.4-1
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sdkmanager 0.6.11-1
sdl2-compat 2.32.60-1
sdl2_image 2.8.8-1
sdl3 3.2.28-1
seabios 1.17.0-2
seatd 0.9.1-1
sed 4.9-3
semver 7.7.3-1
sequoia-sqv 1.3.0-1
serd 0.32.6-1
serf 1.3.10-2
shaderc 2025.5-1
shadow 4.18.0-1
shared-mime-info 2.4-2
shellcheck 0.11.0-73
sherlock-launcher-bin 0.1.14-3
shiboken6 6.10.1-1
signal-desktop 7.84.0-1
simde 0.8.2-1
simdjson 1:4.2.4-1
simple-mtpfs 0.4.0-1
slang 2.3.3-4
slop 7.7-2
slurp 1.5.0-1
smartmontools 7.5-1
smbclient 2:4.23.4-1
snapd 2.73-1
snappy 1.2.2-2
sndio 1.10.0-1
sof-firmware 2025.12-1
solaar 1.1.18-1
solid 6.21.0-1
solid5 5.116.0-2
sonnet 6.21.0-1
sonnet5 5.116.0-2
soqt 1.6.1-2
sord 0.16.20-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
source-highlight 3.1.9-16
source2viewer-bin 17.0-1
spandsp 0.0.6-6
spdlog 1.16.0-1
speedtest-cli 2.1.3-9
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.16.0-2
spice-gtk 0.42-5
spice-protocol 0.14.5-1
spicetify-cli 2.42.7-1
spicetify-cli-debug 2.38.4-2
spirv-tools 1:1.4.335.0-1
spotify-launcher 0.6.4-1
sqlcipher 4.6.1-1
sqlite 3.51.1-1
sqlitebrowser 3.13.1-2
squashfs-tools 4.7.4-1
sratom 0.6.20-1
srt 1.5.4-1
startup-notification 0.12-9
steam 1.0.0.85-1
stow 2.4.1-1
stress 1.0.7-3
subversion 1.14.5-4
sudo 1.9.17.p2-1
suil 0.10.24-1
suitesparse 7.12.1-1
svt-av1 3.1.2-1
svt-hevc 1.5.1-3
swaync 0.12.3-1
sxhkd 0.6.3-1
syndication 6.21.0-1
syntax-highlighting 6.21.0-1
sysbench 1.0.20-2
syslog-ng 4.10.2-4
sysstat 12.7.9-1
systemd 259-2
systemd-libs 259-2
systemd-sysvcompat 259-2
systemsettings 6.5.4-1
taglib 2.1.1-1
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tcpdump 4.99.6-1
tdb 1.4.14-1
tdrop-git 0.5.0.r17.ge7d0cc9-1
teamspeak 6.0.0beta3.4-1
telegram-desktop 6.4.1-1
tevent 1:0.17.1-1
texinfo 7.2-1
thin-provisioning-tools 1.3.1-1
thunar 4.20.6-1
thunderbird 145.0-1
timeshift 25.12.2-1
tinysparql 3.10.1-2
tk 8.6.16-1
tmux 3.6_a-1
toilet 0.3.r155.3eb9d58-3
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
tree-sitter 0.25.10-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-fira-code 6.2-2
ttf-fira-sans 1:4.301-2
ttf-firacode-nerd 3.4.0-1
ttf-hack 3.003-7
ttf-inconsolata 1:3.000-5
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-joypixels 9.0.0-1
ttf-liberation 2.1.5-2
ttf-maple 7.0-1
ttf-symbola 14.00-2
ttf-terminus-nerd 3.4.0-1
tumbler 4.20.1-1
twolame 0.4.0-4
tzdata 2025c-1
uchardet 0.0.8-3
udftools 2.3-2
udisks2 2.11.0-1
ueberzug 18.3.1-4
ufw 0.36.2-5
unclutter 1:1.6-4
unibilium 2.1.2-1
unrar 1:7.2.3-1
unzip 6.0-23
upower 1.91.0-1
usb_modeswitch 2.6.2.20251207-1
usbredir 0.15.0-1
usbutils 019-1
usd 25.11-2
uthash 2.3.0-2
util-linux 2.41.3-1
util-linux-libs 2.41.3-1
uv 0.9.22-1
uvicorn 0.38.0-1
v4l-utils 1.32.0-1
v4l2loopback-dkms 0.15.3-1
vala 0.56.18-5
vale 3.13.0-1
vamp-plugin-sdk 2.10.0-3
vapoursynth 73-1
vde2 2.3.3-8
verdict 1.4.4-1
vesktop-bin 1.6.3-1
vi 1:070224-6
vid.stab 1.1.1-2
vim 9.1.1975-1
vim-runtime 9.1.1975-1
virglrenderer 1.2.0-1
virt-install 5.1.0-1
virt-manager 5.1.0-1
virt-viewer 11.0-4
virtiofsd 1.13.3-1
vkd3d 1.18-1
vlc 3.0.21-32
vlc-cli 3.0.21-32
vlc-gui-qt 3.0.21-32
vlc-plugin-a52dec 3.0.21-32
vlc-plugin-alsa 3.0.21-32
vlc-plugin-archive 3.0.21-32
vlc-plugin-dav1d 3.0.21-32
vlc-plugin-dbus 3.0.21-32
vlc-plugin-dbus-screensaver 3.0.21-32
vlc-plugin-faad2 3.0.21-32
vlc-plugin-ffmpeg 3.0.21-32
vlc-plugin-flac 3.0.21-32
vlc-plugin-gnutls 3.0.21-32
vlc-plugin-inflate 3.0.21-32
vlc-plugin-journal 3.0.21-32
vlc-plugin-jpeg 3.0.21-32
vlc-plugin-lua 3.0.21-32
vlc-plugin-mpeg2 3.0.21-32
vlc-plugin-mpg123 3.0.21-32
vlc-plugin-ogg 3.0.21-32
vlc-plugin-opus 3.0.21-32
vlc-plugin-png 3.0.21-32
vlc-plugin-pulse 3.0.21-32
vlc-plugin-shout 3.0.21-32
vlc-plugin-speex 3.0.21-32
vlc-plugin-tag 3.0.21-32
vlc-plugin-theora 3.0.21-32
vlc-plugin-twolame 3.0.21-32
vlc-plugin-vorbis 3.0.21-32
vlc-plugin-vpx 3.0.21-32
vlc-plugin-xml 3.0.21-32
vlc-plugins-base 3.0.21-32
vlc-plugins-video-output 3.0.21-32
vmaf 3.0.0-1
volume_key 0.3.12-11
vte-common 0.82.3-1
vte3 0.82.3-1
vtk 9.5.2-8
vulkan-headers 1:1.4.335.0-1
vulkan-icd-loader 1.4.335.0-1
vulkan-mesa-implicit-layers 1:25.3.3-1
vulkan-nouveau 1:25.3.3-1
vulkan-radeon 1:25.3.3-1
vulkan-tools 1.4.335.0-1
vulkan-validation-layers 1.4.335.0-1
wavemon 0.9.6-1
wavpack 5.8.1-1
waybar 0.14.0-5
wayland 1.24.0-1
wayland-protocols 1.47-1
waypaper 2.7-1
webkit2gtk 2.50.4-1
webkit2gtk-4.1 2.50.4-1
webkitgtk-6.0 2.50.4-1
webp-pixbuf-loader 0.2.7-1
webrtc-audio-processing 2.1-5
webrtc-audio-processing-1 1.3-5
wget 1.25.0-3
which 2.23-1
whois 5.6.5-1
wildmidi 0.4.6-1
wine 10.20-2
wine-gecko 2.47.4-2
wine-mono 10.3.0-1
winetricks 20250102-1
wireguard-tools 1.0.20250521-1
wireless-regdb 2025.10.07-1
wireless_tools 30.pre9-4
wireplumber 0.5.13-1
wireshark-cli 4.6.2-2
wireshark-qt 4.6.2-2
wl-clipboard 1:2.2.1-3
wlogout 1.2.2-0
wlroots0.17 0.17.4-4
wlroots0.18 0.18.3-1
woff2 1.0.2-6
woff2-font-awesome 7.1.0-1
wolfssl 5.8.4-1
wpa_supplicant 2:2.11-3
wpebackend-fdo 1.16.1-1
wqy-zenhei 0.9.45-10
wtype 0.4-2
wxwidgets-common 3.2.9-4
wxwidgets-gtk3 3.2.9-4
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xapp 3.2.1-1
xapp-symbolic-icons 1.0.7-2
xautolock 2.2-8
xbitmaps 1.1.3-2
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-4
xclip 0.13-6
xcowsay-debug 1.6-1
xcur2png 0.7.1-8
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-2
xdg-desktop-portal-gnome 49.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-3
xdg-desktop-portal-kde 6.5.4-1
xdg-user-dirs 0.19-2
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xdo 0.5.7-3
xdotool 3.20211022.1-2
xerces-c 3.3.0-3
xf86-input-libinput 1.5.0-1
xf86-video-vesa 2.6.0-2
xfconf 4.20.0-2
xfsprogs 6.17.0-2
xidlehook 0.10.0-1
xkeyboard-config 2.46-1
xmlsec 1.3.9-1
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-alias-misc 1.0.5-1
xorg-fonts-encodings 1.1.0-1
xorg-fonts-misc 1.0.4-2
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.21-1
xorg-server-common 21.1.21-1
xorg-server-devel 21.1.21-1
xorg-server-xephyr 21.1.21-1
xorg-server-xnest 21.1.21-1
xorg-server-xvfb 21.1.21-1
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.8-1
xorg-util-macros 1.20.2-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.5-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.5.0-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.9-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xorgproto 2025.1-1
xqp 0.1-2
xsel 1.2.1-2
xsettingsd 1.0.2-3
xss-lock 0.4.0-1
xterm 406-1
xvidcore 1.3.7-3
xwaylandvideobridge 0.4.0-3
xxhash 0.8.3-1
xz 5.8.2-1
yajl 2.1.0-6
yaml-cpp 0.8.0-2
yay 12.5.7-1
yay-debug 12.4.2-1
yelp-tools 42.1-2
yelp-xsl 49.0-1
yofi 0.2.2-1
yt-dlp 2025.12.08-1
yyjson 0.12.0-1
zbar 0.23.93-4
zenity 4.2.1-1
zeromq 4.3.5-2
zimg 3.0.6-1
zip 3.0-11
zita-convolver 4.0.3-4
zix 0.8.0-1
zlib 1:1.3.1-2
zlib-ng 2.3.2-1
zoxide 0.9.8-2
zsh 5.9-5
zsh-autosuggestions 0.7.1-1
zsh-completions 0.35.0-3
zsh-history-substring-search 1.1.0-2
zsh-syntax-highlighting 0.8.0-1
zstd 1.5.7-2
zvbi 0.2.44-1
zxing-cpp 2.3.0-5
zziplib 0.13.80-1
