7zip 25.01-1
goodvibes 0.8.3-1
gperf 3.3-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.3-1
gradle 9.2.0-1
granite7 7.7.0-1
graphene 1.10.8-2
graphite 1:1.3.14-5
graphviz 14.1.1-1
greetd 0.10.3-1
greetd-agreety 0.10.3-1
grep 3.12-2
grim 1.5.0-2
groff 1.23.0-7
grpc 1.76.0-3
grub 2:2.14rc1.r54.g29f3131a-2
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsl 2.8-1
gsm 1.0.23-1
gssdp 1.6.4-1
gst-libav 1.26.10-1
gst-plugin-pipewire 1:1.4.9-2
gst-plugins-bad 1.26.10-1
gst-plugins-bad-libs 1.26.10-1
gst-plugins-base 1.26.10-1
gst-plugins-base-libs 1.26.10-1
gst-plugins-good 1.26.10-1
gst-plugins-ugly 1.26.10-1
gst-python 1.26.10-1
gstreamer 1.26.10-1
gtest 1.17.0-1
gtk-doc 1.35.1-1
gtk-layer-shell 0.10.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtk4-layer-shell 1.3.0-1
gtkglext 1.2.0-20
gtkglext-debug 1.2.0-20
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-2
gtksourceview5 5.18.0-1
gts 0.7.6.121130-5
guile 3.0.11-1
gum 0.17.0-1
gupnp 1:1.6.9-1
gupnp-av 0.14.4-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gupnp-tools 0.12.2-2
gvfs 1.58.0-2
gvfs-dnssd 1.58.0-2
gvfs-mtp 1.58.0-2
gzip 1.14-2
harfbuzz 12.3.0-1
harfbuzz-icu 12.3.0-1
haskell-aeson 2.2.0.0-1
haskell-ansi-terminal 1.0.2-156
haskell-ansi-terminal-types 0.11.5-196
haskell-ansi-wl-pprint 1.0.2-234
haskell-assoc 1.1.1-40
haskell-attoparsec 0.14.4-175
haskell-base-compat 0.14.1-2
haskell-base-compat-batteries 0.14.1-45
haskell-base-orphans 0.9.3-84
haskell-bifunctors 5.6.2-58
haskell-colour 2.3.6-406
haskell-comonad 5.0.9-121
haskell-contravariant 1.5.5-6
haskell-data-array-byte 0.1.0.1-84
haskell-data-fix 0.3.4-142
haskell-diff 0.5-34
haskell-distributive 0.6.2.1-413
haskell-dlist 1.0-386
haskell-erf 2.0.0.0-27
haskell-fgl 5.8.3.0-100
haskell-foldable1-classes-compat 0.1.2-56
haskell-generically 0.1.1-88
haskell-ghc-bignum-orphans 0.1.1-4
haskell-hashable 1.4.7.0-19
haskell-indexed-traversable 0.1.4-176
haskell-indexed-traversable-instances 0.1.2-125
haskell-integer-conversion 0.1.1-54
haskell-integer-logarithms 1.0.4-142
haskell-network-uri 2.6.4.2-133
haskell-onetuple 0.4.2-182
haskell-optparse-applicative 0.18.1.0-257
haskell-os-string 2.0.8-88
haskell-prettyprinter 1.7.1-360
haskell-prettyprinter-ansi-terminal 1.1.3-468
haskell-prettyprinter-compat-ansi-wl-pprint 1.0.2-236
haskell-primitive 0.9.1.0-112
haskell-quickcheck 2.15.0.1-92
haskell-random 1.2.1.3-178
haskell-regex-base 0.94.0.3-3
haskell-regex-tdfa 1.3.2.5-7
haskell-scientific 0.3.8.0-150
haskell-semialign 1.3.1-53
haskell-semigroupoids 6.0.1-97
haskell-splitmix 0.1.3-6
haskell-statevar 1.2.2-5
haskell-strict 0.5.1-18
haskell-tagged 0.8.9-3
haskell-tasty 1.5.2-67
haskell-text-iso8601 0.1.1-54
haskell-text-short 0.1.6-180
haskell-th-abstraction 0.5.0.0-2
haskell-th-compat 0.1.6-83
haskell-these 1.2.1-227
haskell-time-compat 1.9.8-28
haskell-transformers-compat 0.7.2-4
haskell-unordered-containers 0.2.20.1-17
haskell-uuid-types 1.0.6-224
haskell-vector 0.13.2.0-329
haskell-vector-stream 0.1.0.1-4
haskell-witherable 0.4.2-230
hdf5-openmpi 2.0.0-3
helvum 0.5.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
hiredis 1.3.0-1
hostapd 2.11-4
hplip 1:3.25.8-1
htop 3.4.1-1
http-parser 2.9.4-2
httpfs2-2gbplus 0.1.5-1
hunspell 1.7.2-2
hwdata 0.402-1
hwloc 2.12.2-1
hyphen 2.8.8-6
hyphen-de 20241209-1
hyphen-en 2.8.8-6
hyprcursor 0.1.13-3
hyprdvd 0.5.1-2
hyprgraphics 0.5.0-1
hypridle 0.1.7-6
hyprland 0.53.1-1
hyprland-guiutils 0.2.1-2
hyprland-protocols-git 0.7.0.r1.g3f3860b-1
hyprland-qt-support 0.1.0-10
hyprlang 0.6.8-1
hyprlock 0.9.2-8
hyprpaper 0.8.1-1
hyprtoolkit 0.5.2-1
hyprutils 0.11.0-1
hyprwayland-scanner 0.4.5-1
hyprwire 0.2.1-2
